State,unemployment_rate,year
Alabama,9.4,2011
Alaska,7.5,2011
Arizona,9.2,2011
Arkansas,8,2011
California,11.8,2011
Colorado,8.6,2011
Connecticut,8.9,2011
Delaware,8.1,2011
District of Columbia,10.3,2011
Florida,10.7,2011
Georgia,10.1,2011
Hawaii,6.3,2011
Idaho,9.2,2011
Illinois,9.4,2011
Indiana,8.7,2011
Iowa,6,2011
Kansas,6.6,2011
Kentucky,9.8,2011
Louisiana,7.5,2011
Maine,7.5,2011
Maryland,7,2011
Massachusetts,7.6,2011
Michigan,10.4,2011
Minnesota,6.6,2011
Mississippi,10.4,2011
Missouri,8.8,2011
Montana,7.4,2011
Nebraska,4.2,2011
Nevada,13.1,2011
New Hampshire,5.2,2011
New Jersey,9.3,2011
New Mexico,7.2,2011
New York,8,2011
North Carolina,10,2011
North Dakota,3.4,2011
Ohio,8.9,2011
Oklahoma,5.9,2011
Oregon,9.6,2011
Pennsylvania,7.9,2011
Rhode Island,15.8,2011
South Carolina,10.8,2011
South Dakota,10.3,2011
Tennessee,4.7,2011
Texas,9.5,2011
Utah,8.2,2011
Vermont,7.2,2011
Virginia,5.5,2011
Washington,6.3,2011
West Virginia,9.1,2011
Wisconsin,8.5,2011
Wyoming,7.5,2011
Puerto Rico,5.9,2011
Alabama,7.9,2012
Alaska,7.1,2012
Arizona,8.1,2012
Arkansas,7.2,2012
California,10,2012
Colorado,7.6,2012
Connecticut,8.3,2012
Delaware,7.1,2012
District of Columbia,8.6,2012
Florida,8.3,2012
Georgia,8.7,2012
Hawaii,5.4,2012
Idaho,7.2,2012
Illinois,9,2012
Indiana,8.2,2012
Iowa,5,2012
Kansas,5.6,2012
Kentucky,8.1,2012
Louisiana,6.5,2012
Maine,7.1,2012
Maryland,6.8,2012
Massachusetts,6.7,2012
Michigan,9,2012
Minnesota,5.6,2012
Mississippi,8.7,2012
Missouri,7,2012
Montana,5.6,2012
Nebraska,3.8,2012
Nevada,11.1,2012
New Hampshire,5.6,2012
New Jersey,9.3,2012
New Mexico,6.9,2012
New York,8.5,2012
North Carolina,9.5,2012
North Dakota,3,2012
Ohio,7.3,2012
Oklahoma,5.1,2012
Oregon,8.6,2012
Pennsylvania,7.7,2012
Rhode Island,9.8,2012
South Carolina,8.6,2012
South Dakota,4,2012
Tennessee,7.8,2012
Texas,6.5,2012
Utah,4.6,2012
Vermont,4.7,2012
Virginia,5.8,2012
Washington,7.2,2012
West Virginia,7.3,2012
Wisconsin,6.9,2012
Wyoming,5.3,2012
Puerto Rico,14.2,2012
Alabama,7.3,2013
Alaska,7,2013
Arizona,7.8,2013
Arkansas,7,2013
California,9,2013
Colorado,6.8,2013
Connecticut,8,2013
Delaware,6.6,2013
District of Columbia,8.4,2013
Florida,7.5,2013
Georgia,8.1,2013
Hawaii,4.8,2013
Idaho,6.8,2013
Illinois,9.1,2013
Indiana,7.5,2013
Iowa,4.7,2013
Kansas,5.3,2013
Kentucky,7.9,2013
Louisiana,6.4,2013
Maine,6.7,2013
Maryland,6.5,2013
Massachusetts,6.6,2013
Michigan,8.7,2013
Minnesota,5,2013
Mississippi,8.5,2013
Missouri,6.8,2013
Montana,5.3,2013
Nebraska,3.7,2013
Nevada,10,2013
New Hampshire,5.3,2013
New Jersey,8.4,2013
New Mexico,6.9,2013
New York,7.8,2013
North Carolina,7.7,2013
North Dakota,2.9,2013
Ohio,7.5,2013
Oklahoma,5.1,2013
Oregon,7.8,2013
Pennsylvania,7.1,2013
Rhode Island,9.5,2013
South Carolina,7.4,2013
South Dakota,3.7,2013
Tennessee,7.7,2013
Texas,6.3,2013
Utah,4.2,2013
Vermont,4.4,2013
Virginia,5.6,2013
Washington,6.6,2013
West Virginia,6.7,2013
Wisconsin,6.6,2013
Wyoming,4.7,2013
Puerto Rico,14.2,2013
Alabama,6.7,2014
Alaska,6.7,2014
Arizona,6.8,2014
Arkansas,5.9,2014
California,7.6,2014
Colorado,5,2014
Connecticut,6.6,2014
Delaware,5.6,2014
District of Columbia,7.7,2014
Florida,6.4,2014
Georgia,7.1,2014
Hawaii,4.2,2014
Idaho,4.4,2014
Illinois,7.2,2014
Indiana,6,2014
Iowa,4.2,2014
Kansas,4.5,2014
Kentucky,6.4,2014
Louisiana,6.3,2014
Maine,5.6,2014
Maryland,5.7,2014
Massachusetts,5.7,2014
Michigan,7.2,2014
Minnesota,4.3,2014
Mississippi,7.6,2014
Missouri,6.2,2014
Montana,4.7,2014
Nebraska,3.3,2014
Nevada,8.2,2014
New Hampshire,4.3,2014
New Jersey,6.7,2014
New Mexico,6.6,2014
New York,6.3,2014
North Carolina,6.1,2014
North Dakota,2.6,2014
Ohio,5.8,2014
Oklahoma,4.3,2014
Oregon,6.6,2014
Pennsylvania,5.9,2014
Rhode Island,7.8,2014
South Carolina,6.3,2014
South Dakota,3.3,2014
Tennessee,6.6,2014
Texas,5.2,2014
Utah,3.6,2014
Vermont,4,2014
Virginia,5.1,2014
Washington,5.9,2014
West Virginia,6.5,2014
Wisconsin,5.4,2014
Wyoming,4.3,2014
Puerto Rico,13.8,2014
Alabama,6.1,2015
Alaska,6.3,2015
Arizona,6.1,2015
Arkansas,5,2015
California,6.2,2015
Colorado,3.7,2015
Connecticut,5.6,2015
Delaware,4.8,2015
District of Columbia,6.9,2015
Florida,5.5,2015
Georgia,6.1,2015
Hawaii,3.4,2015
Idaho,3.9,2015
Illinois,6,2015
Indiana,4.8,2015
Iowa,3.7,2015
Kansas,4.2,2015
Kentucky,5.2,2015
Louisiana,6.3,2015
Maine,4.4,2015
Maryland,5,2015
Massachusetts,4.8,2015
Michigan,5.4,2015
Minnesota,3.8,2015
Mississippi,6.5,2015
Missouri,5.1,2015
Montana,4.3,2015
Nebraska,3,2015
Nevada,6.9,2015
New Hampshire,3.4,2015
New Jersey,5.7,2015
New Mexico,6.6,2015
New York,5.2,2015
North Carolina,5.7,2015
North Dakota,2.8,2015
Ohio,5,2015
Oklahoma,4.3,2015
Oregon,5.5,2015
Pennsylvania,5.4,2015
Rhode Island,6,2015
South Carolina,5.9,2015
South Dakota,3.1,2015
Tennessee,5.6,2015
Texas,4.5,2015
Utah,3.5,2015
Vermont,3.5,2015
Virginia,4.4,2015
Washington,5.4,2015
West Virginia,6.6,2015
Wisconsin,4.4,2015
Wyoming,4.2,2015
Puerto Rico,12.1,2015
Alabama,5.9,2016
Alaska,6.6,2016
Arizona,5.5,2016
Arkansas,4,2016
California,5.5,2016
Colorado,3.1,2016
Connecticut,4.9,2016
Delaware,4.5,2016
District of Columbia,6.2,2016
Florida,4.9,2016
Georgia,5.5,2016
Hawaii,2.9,2016
Idaho,3.7,2016
Illinois,5.9,2016
Indiana,4.4,2016
Iowa,3.6,2016
Kansas,4,2016
Kentucky,5,2016
Louisiana,6.1,2016
Maine,3.8,2016
Maryland,4.3,2016
Massachusetts,4,2016
Michigan,5,2016
Minnesota,3.9,2016
Mississippi,6,2016
Missouri,4.6,2016
Montana,4.3,2016
Nebraska,3.1,2016
Nevada,5.8,2016
New Hampshire,2.9,2016
New Jersey,4.9,2016
New Mexico,6.8,2016
New York,4.9,2016
North Carolina,5.1,2016
North Dakota,3.1,2016
Ohio,5.1,2016
Oklahoma,4.7,2016
Oregon,4.8,2016
Pennsylvania,5.3,2016
Rhode Island,5.2,2016
South Carolina,4.9,2016
South Dakota,3,2016
Tennessee,4.8,2016
Texas,4.7,2016
Utah,3.4,2016
Vermont,3.1,2016
Virginia,4,2016
Washington,5.2,2016
West Virginia,6.1,2016
Wisconsin,3.9,2016
Wyoming,5.3,2016
Puerto Rico,11.8,2016
Alabama,4.5,2017
Alaska,6.5,2017
Arizona,5,2017
Arkansas,3.7,2017
California,4.8,2017
Colorado,2.6,2017
Connecticut,4.4,2017
Delaware,4.5,2017
District of Columbia,6.1,2017
Florida,4.3,2017
Georgia,4.8,2017
Hawaii,2.2,2017
Idaho,3.2,2017
Illinois,5,2017
Indiana,3.5,2017
Iowa,3.1,2017
Kansas,3.6,2017
Kentucky,4.8,2017
Louisiana,5.1,2017
Maine,3.4,2017
Maryland,4,2017
Massachusetts,3.8,2017
Michigan,4.6,2017
Minnesota,3.5,2017
Mississippi,5.2,2017
Missouri,3.7,2017
Montana,4.1,2017
Nebraska,3,2017
Nevada,5,2017
New Hampshire,2.8,2017
New Jersey,4.5,2017
New Mexico,6,2017
New York,4.6,2017
North Carolina,4.5,2017
North Dakota,2.6,2017
Ohio,5,2017
Oklahoma,4,2017
Oregon,4.1,2017
Pennsylvania,5,2017
Rhode Island,4.5,2017
South Carolina,4.2,2017
South Dakota,3.1,2017
Tennessee,3.8,2017
Texas,4.3,2017
Utah,3.2,2017
Vermont,3,2017
Virginia,3.7,2017
Washington,4.6,2017
West Virginia,5.2,2017
Wisconsin,3.3,2017
Wyoming,4.3,2017
Puerto Rico,10.9,2017
Alabama,3.9,2018
Alaska,6,2018
Arizona,4.8,2018
Arkansas,3.6,2018
California,4.3,2018
Colorado,3,2018
Connecticut,3.9,2018
Delaware,3.8,2018
District of Columbia,5.7,2018
Florida,3.7,2018
Georgia,4,2018
Hawaii,2.4,2018
Idaho,2.9,2018
Illinois,4.4,2018
Indiana,3.4,2018
Iowa,2.5,2018
Kansas,3.3,2018
Kentucky,4.2,2018
Louisiana,4.8,2018
Maine,3.1,2018
Maryland,3.7,2018
Massachusetts,3.5,2018
Michigan,4.2,2018
Minnesota,3.1,2018
Mississippi,5,2018
Missouri,3.2,2018
Montana,3.8,2018
Nebraska,2.9,2018
Nevada,4.4,2018
New Hampshire,2.6,2018
New Jersey,4,2018
New Mexico,4.9,2018
New York,4.1,2018
North Carolina,4,2018
North Dakota,2.4,2018
Ohio,4.5,2018
Oklahoma,3.3,2018
Oregon,4,2018
Pennsylvania,4.5,2018
Rhode Island,4.1,2018
South Carolina,3.4,2018
South Dakota,2.8,2018
Tennessee,3.5,2018
Texas,3.9,2018
Utah,2.9,2018
Vermont,2.6,2018
Virginia,3,2018
Washington,4.5,2018
West Virginia,5.2,2018
Wisconsin,3,2018
Wyoming,4.1,2018
Puerto Rico,9.2,2018
Alabama,3.2,2019
Alaska,5.5,2019
Arizona,4.9,2019
Arkansas,3.5,2019
California,4.1,2019
Colorado,2.6,2019
Connecticut,3.5,2019
Delaware,3.7,2019
District of Columbia,5.3,2019
Florida,3.2,2019
Georgia,3.6,2019
Hawaii,2.4,2019
Idaho,3,2019
Illinois,3.9,2019
Indiana,3.3,2019
Iowa,2.6,2019
Kansas,3.1,2019
Kentucky,4.1,2019
Louisiana,4.6,2019
Maine,2.8,2019
Maryland,3.4,2019
Massachusetts,3.1,2019
Michigan,4.1,2019
Minnesota,3.4,2019
Mississippi,5.4,2019
Missouri,3.1,2019
Montana,3.6,2019
Nebraska,3.1,2019
Nevada,4,2019
New Hampshire,2.6,2019
New Jersey,3.4,2019
New Mexico,4.9,2019
New York,3.8,2019
North Carolina,3.8,2019
North Dakota,2.1,2019
Ohio,4.2,2019
Oklahoma,3.1,2019
Oregon,3.7,2019
Pennsylvania,4.5,2019
Rhode Island,3.6,2019
South Carolina,2.8,2019
South Dakota,2.8,2019
Tennessee,3.4,2019
Texas,3.5,2019
Utah,2.6,2019
Vermont,2.3,2019
Virginia,2.8,2019
Washington,4.3,2019
West Virginia,4.9,2019
Wisconsin,3.2,2019
Wyoming,3.8,2019
Puerto Rico,8.3,2019
Alabama,6.5,2020
Alaska,8.3,2020
Arizona,7.7,2020
Arkansas,6.1,2020
California,10.3,2020
Colorado,6.9,2020
Connecticut,7.8,2020
Delaware,7.6,2020
District of Columbia,7.9,2020
Florida,8.3,2020
Georgia,6.5,2020
Hawaii,12,2020
Idaho,5.5,2020
Illinois,9.2,2020
Indiana,7.3,2020
Iowa,5.2,2020
Kansas,5.7,2020
Kentucky,6.4,2020
Louisiana,8.8,2020
Maine,5.1,2020
Maryland,6.7,2020
Massachusetts,9.5,2020
Michigan,10.1,2020
Minnesota,6.4,2020
Mississippi,8,2020
Missouri,6.1,2020
Montana,5.8,2020
Nebraska,4.2,2020
Nevada,13.8,2020
New Hampshire,6.8,2020
New Jersey,9.5,2020
New Mexico,8.1,2020
New York,9.9,2020
North Carolina,7.2,2020
North Dakota,5.1,2020
Ohio,8.3,2020
Oklahoma,6.2,2020
Oregon,7.6,2020
Pennsylvania,9.1,2020
Rhode Island,9.2,2020
South Carolina,6,2020
South Dakota,4.4,2020
Tennessee,7.5,2020
Texas,7.7,2020
Utah,4.7,2020
Vermont,5.6,2020
Virginia,6.2,2020
Washington,8.5,2020
West Virginia,8.2,2020
Wisconsin,6.3,2020
Wyoming,5.8,2020
Puerto Rico,8.8,2020
Alabama,3.5,2021
Alaska,6.4,2021
Arizona,5,2021
Arkansas,4.1,2021
California,7.4,2021
Colorado,5.4,2021
Connecticut,6.3,2021
Delaware,5.4,2021
District of Columbia,6.7,2021
Florida,4.6,2021
Georgia,3.9,2021
Hawaii,5.8,2021
Idaho,3.6,2021
Illinois,6.1,2021
Indiana,3.6,2021
Iowa,4.3,2021
Kansas,3.3,2021
Kentucky,4.7,2021
Louisiana,5.5,2021
Maine,4.6,2021
Maryland,5.8,2021
Massachusetts,5.8,2021
Michigan,5.9,2021
Minnesota,3.4,2021
Mississippi,5.6,2021
Missouri,4.4,2021
Montana,3.4,2021
Nebraska,2.5,2021
Nevada,7.3,2021
New Hampshire,3.5,2021
New Jersey,6.4,2021
New Mexico,6.8,2021
New York,7,2021
North Carolina,4.8,2021
North Dakota,3.7,2021
Ohio,5.2,2021
Oklahoma,3.9,2021
Oregon,5.2,2021
Pennsylvania,6.4,2021
Rhode Island,5.7,2021
South Carolina,4,2021
South Dakota,3.1,2021
Tennessee,4.3,2021
Texas,5.7,2021
Utah,2.7,2021
Vermont,3.5,2021
Virginia,3.9,2021
Washington,5.3,2021
West Virginia,5.1,2021
Wisconsin,3.8,2021
Wyoming,4.5,2021
Puerto Rico,8.1,2021
